user_name,message_count,reactions_count,reaction_rate_all,☃,⚡,✍,❤,❤‍🔥,🆒,🌚,🌭,🍌,🍓,🍾,🎃,🎄,🎉,🏆,🐳,👀,👌,👍,👎,👏,👨‍💻,👻,👾,💅,💊,💔,💘,💩,💯,🔥,🕊,🗿,😁,😇,😈,😍,😎,😐,😡,😢,😨,😭,😱,😴,🙈,🙉,🙊,🙏,🤓,🤔,🤗,🤝,🤡,🤣,🤨,🤩,🤪,🤬,🤮,🤯,🤷,🤷‍♀,🤷‍♂,🥰,🥱,🥴,🦄,🫡
TOny,2587,10291,3.978,3,2,6,1743,23,0,43,8,5,10,6,0,1,1,2,1,110,12,751,6,7,1,0,3,15,3,50,0,18,1180,540,3,10,3895,0,3,20,20,17,6,438,35,234,107,0,48,1,1,14,7,98,0,59,20,260,6,21,12,2,13,36,0,0,0,201,0,6,98,50
Юрий Чуйко,426,1489,3.4953,0,1,0,277,0,0,2,0,0,0,0,0,0,4,0,0,7,4,119,1,0,0,0,0,2,0,13,0,0,199,39,0,1,578,1,0,5,1,2,0,67,0,48,6,1,6,0,0,1,0,8,0,4,3,24,0,1,2,0,0,1,1,1,0,44,0,0,11,4
Ilia,349,1018,2.9169,0,0,0,179,11,0,3,0,0,0,0,0,0,0,0,0,3,0,70,0,12,0,0,0,1,0,5,0,0,84,15,0,2,459,0,0,8,0,0,0,36,2,14,6,0,0,0,0,0,0,6,0,3,7,26,1,10,3,0,0,1,0,1,0,33,0,1,1,15
Irina Skveshik,322,1294,4.0186,0,0,0,146,1,0,10,0,0,1,0,1,0,0,0,5,1,0,83,6,1,0,0,0,0,0,4,0,0,131,33,0,1,700,0,0,0,1,0,0,45,1,5,6,0,8,0,0,5,0,14,0,2,4,49,1,4,1,0,1,2,0,0,1,6,1,3,8,2
Max,265,845,3.1887,0,0,0,46,7,1,1,0,0,0,5,0,0,7,0,2,7,2,56,0,0,2,0,0,0,0,1,0,0,84,103,0,5,391,0,0,3,0,0,0,16,0,3,14,0,6,0,0,3,1,13,0,9,3,25,0,3,0,1,1,15,0,0,0,1,0,3,5,0
Олег,242,1080,4.4628,0,0,0,126,7,0,1,2,0,0,4,0,0,0,0,2,6,2,81,1,5,0,0,0,0,2,3,0,0,99,58,0,0,506,1,0,0,0,0,0,65,0,19,25,0,1,0,0,0,0,3,0,5,0,16,0,0,0,0,0,1,0,0,0,29,0,1,7,2
Evizeon,149,622,4.1745,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,4,41,0,0,0,1,0,0,0,0,0,0,63,44,0,2,323,0,0,3,1,0,0,34,0,3,4,0,1,0,0,0,0,6,0,3,1,11,0,0,0,0,0,8,0,0,0,6,0,0,1,2
Svetlana Lapinski,129,370,2.8682,0,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,1,0,1,23,11,0,2,177,1,1,0,1,0,0,26,3,3,4,0,1,0,0,2,1,6,1,0,0,7,0,3,0,0,0,0,0,0,0,3,0,1,6,0
Diana,102,511,5.0098,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,92,7,0,0,276,0,1,0,0,0,0,15,2,0,1,0,1,0,0,0,0,6,0,4,1,8,0,0,1,0,0,0,0,0,0,3,0,1,10,0
Mary Marko,68,266,3.9118,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,35,17,0,0,137,0,0,0,0,0,0,6,0,6,1,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,1,0,0,0,0,4,0,0,1,5
Alenka,67,175,2.6119,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,12,0,0,89,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0
Serginjo,59,119,2.0169,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,8,0,0,66,0,0,0,0,0,0,2,0,5,1,0,1,0,0,0,0,4,0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,3,1
Boris,57,229,4.0175,0,0,0,34,0,0,0,0,0,0,5,0,0,0,0,0,2,0,30,0,0,0,1,0,2,0,1,0,0,12,17,0,1,84,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,2,23,1,0,0,0,0,0,0,0,0,0,0,0,4,0
Lev,53,214,4.0377,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,22,20,0,0,105,0,0,0,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0,3,0
flire,52,214,4.1154,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,2,0,18,17,0,0,101,0,0,0,0,0,0,15,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,1,0,0,1,2
M,43,183,4.2558,0,0,0,41,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,24,3,0,0,78,0,0,0,0,0,0,6,3,0,2,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,42,148,3.5238,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,10,9,0,0,68,0,0,2,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,1,0,0,3,0
