user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,🍓,🍾,🎃,👀,👌,👍,💔,💩,💯,🔥,🗿,😁,😇,😍,😐,😢,😨,😭,🙈,🤔,🤝,🤡,🤣,🤩,🤯,🥰,🥴,🫡
TOny,127,512,4.0315,87,5,6,2,0,10,0,35,3,0,57,19,0,200,0,0,3,24,1,13,4,8,12,1,6,4,0,1,3,8
Evizeon,56,230,4.1071,23,0,0,0,0,2,3,10,0,0,21,25,2,112,0,3,0,12,0,2,1,1,2,1,5,0,5,0,0,0
Ilia,19,45,2.3684,6,0,0,0,0,0,0,1,0,0,4,4,0,19,0,3,0,1,0,0,0,1,0,0,1,0,0,5,0,0
VΛSWΛY,15,23,1.5333,4,0,0,0,0,0,0,2,0,0,1,3,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Олег,8,25,3.125,3,1,0,0,0,0,2,2,0,0,1,1,0,10,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
Dmitry Leff,7,23,3.2857,2,0,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,2
Mary Marko,6,18,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flire,5,28,5.6,6,0,0,0,0,0,0,0,0,0,9,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Илья,5,26,5.2,1,0,0,0,0,0,0,10,0,0,0,6,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
M,5,26,5.2,4,0,0,0,2,0,0,0,0,0,1,0,0,13,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0
Diana,5,25,5.0,6,0,0,0,0,0,0,4,0,0,2,1,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Serginjo,4,15,3.75,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
Max,3,13,4.3333,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Boris,2,10,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,2,8,4.0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Павел Рамм,1,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Юрий Чуйко,1,5,5.0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lou,1,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ира А,1,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
