user_name,message_count,reactions_count,reaction_rate_all,❤,❤‍🔥,🌚,👀,👍,👎,👻,👾,💔,💯,🔥,😁,😍,😐,😢,😭,😱,🙈,🙏,🤔,🤝,🤡,🤣,🤩,🤮,🤯,🤷‍♂,🥰,🦄,🫡
TOny,116,448,3.8621,101,2,1,3,11,1,0,0,4,45,18,169,2,1,37,9,1,3,0,11,1,1,17,0,0,1,0,3,0,6
Evizeon,73,312,4.274,29,0,0,1,21,0,1,2,0,40,22,141,0,0,14,1,12,0,0,6,1,0,4,2,0,3,0,8,0,4
Ilia,15,26,1.7333,5,0,0,0,4,0,0,0,0,5,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Irina Skveshik,13,52,4.0,5,0,0,0,1,0,0,0,0,3,2,31,0,0,5,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,11,32,2.9091,6,0,0,3,1,0,0,0,0,6,0,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Олег,6,23,3.8333,6,0,0,0,7,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Marko,5,26,5.2,4,0,0,0,4,0,0,0,0,4,2,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dmitry Leff,5,25,5.0,3,0,0,0,2,0,0,0,0,1,0,11,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
M,3,15,5.0,2,0,0,0,1,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flire,2,10,5.0,2,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Max,2,14,7.0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Serginjo,2,5,2.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris,2,9,4.5,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VΛSWΛY,2,7,3.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farid Alijanov,2,8,4.0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alenka,1,2,2.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksii Работа в Чехии / Фин. Консультант⚜️,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Илья,1,4,4.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Юрий Чуйко,1,2,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Kirill Lyashko,1,3,3.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
