user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,🍓,👀,👍,👎,💅,💔,💩,💯,🔥,😁,😍,😎,😐,😢,😭,😱,🙈,🙏,🤓,🤔,🤝,🤣,🤨,🤬,🤯,🥰,🥴,🦄,🫡
Evizeon,127,554,4.3622,35,0,3,10,57,0,1,3,0,75,24,297,3,1,0,23,1,2,0,0,0,4,0,7,0,0,0,3,0,3,2
TOny,104,409,3.9327,60,1,0,1,32,2,0,0,0,74,13,168,0,0,1,28,0,1,1,1,0,1,5,7,1,1,0,1,1,0,9
Павел Рамм,14,66,4.7143,6,0,0,0,5,0,0,0,0,3,5,38,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
Ilia,12,43,3.5833,14,0,0,0,1,0,0,0,0,10,2,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,10,34,3.4,1,0,0,0,3,0,0,0,0,4,0,23,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Олег,9,49,5.4444,3,0,0,0,8,0,0,0,0,2,5,23,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
Aleksii Работа в Чехии / Фин. Консультант⚜️,6,18,3.0,6,0,0,1,0,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serginjo,6,26,4.3333,2,0,0,1,1,0,0,0,0,0,1,17,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
flire,5,24,4.8,0,0,0,0,5,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boris,4,19,4.75,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VΛSWΛY,2,4,2.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dasha,2,14,7.0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Maria Bibik,2,14,7.0,7,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitry Leff,2,6,3.0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yuliya Kon,1,4,4.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Valera,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,1,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margo,1,9,9.0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Roman,1,5,5.0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
