user_name,message_count,reactions_count,reaction_rate_all,❤,👀,👌,👍,💯,🔥,😁,😇,😢,😭,😱,🤔,🤣,🫡
TOny,32,128,4.0,23,0,0,14,26,2,32,0,21,4,0,0,4,2
Evizeon,10,29,2.9,0,0,1,2,1,1,19,0,3,0,0,0,2,0
Олег,9,34,3.7778,7,0,0,0,7,1,11,1,4,1,0,0,2,0
Ilia,5,13,2.6,1,0,0,0,0,0,7,0,3,0,0,1,1,0
flire,4,15,3.75,2,1,0,0,1,4,6,0,0,0,1,0,0,0
Dmitry Leff,2,8,4.0,0,0,0,0,0,2,4,0,0,0,0,0,0,2
Max,2,3,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Liarsi....,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,1,4,4.0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
VΛSWΛY,1,3,3.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Илья,1,8,8.0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
Artem Fadeev,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
