user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,🎃,👀,👍,💯,🔥,🗿,😁,😍,😢,😨,🙈,🤔,🤡,🤣,🫡
TOny,15,67,4.4667,12,2,0,4,2,3,4,0,34,0,4,0,0,2,0,0,0
Evizeon,14,52,3.7143,3,0,0,0,2,4,5,2,29,0,5,0,1,1,0,0,0
VΛSWΛY,9,5,0.5556,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Diana,5,18,3.6,5,0,0,0,3,2,1,0,5,0,1,0,0,0,1,0,0
Илья,4,15,3.75,1,0,0,0,7,0,0,0,6,0,1,0,0,0,0,0,0
Ilia,4,9,2.25,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0
M,3,15,5.0,0,0,2,0,0,1,0,0,7,0,0,2,0,2,0,1,0
Олег,2,3,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Mary Marko,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boris,1,5,5.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
flire,1,6,6.0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
