user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,🍓,👀,👌,👍,💔,💯,🔥,😁,😐,😢,😨,😭,🤔,🤝,🤡,🤣,🤯,🥰,🫡
TOny,27,108,4.0,20,1,2,2,0,12,3,9,2,44,1,5,1,2,0,0,1,0,0,1,2
Evizeon,20,84,4.2,9,0,0,2,0,2,0,8,11,41,0,5,0,0,0,0,1,4,1,0,0
Ilia,6,13,2.1667,0,0,0,0,0,1,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0
Mary Marko,5,15,3.0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0
VΛSWΛY,4,14,3.5,4,0,0,0,0,2,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0
Serginjo,2,8,4.0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
Олег,2,7,3.5,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
M,1,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou,1,2,2.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ира Афанасьева,1,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitry Leff,1,3,3.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
flire,1,4,4.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
