user_name,message_count,reactions_count,reaction_rate_all,❤,👀,👍,💯,🔥,😁,😢,😭,😱,🙈,🤣,🥰,🦄
TOny,19,82,4.3158,6,1,4,14,9,32,6,1,0,2,4,3,0
Ilia,6,17,2.8333,0,0,1,4,4,6,0,0,0,0,1,1,0
Dmitry Leff,2,19,9.5,2,0,1,1,0,7,4,0,3,0,0,0,1
flire,2,4,2.0,2,0,0,1,0,1,0,0,0,0,0,0,0
Kirill Lyashko,1,3,3.0,0,0,3,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,1,9,9.0,0,0,0,0,0,9,0,0,0,0,0,0,0
Evizeon,1,7,7.0,6,0,0,0,0,1,0,0,0,0,0,0,0
Max,1,4,4.0,0,0,0,0,0,0,0,0,0,0,4,0,0
Олег,1,2,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0
Boris,1,5,5.0,0,0,0,1,0,4,0,0,0,0,0,0,0
