user_name,message_count,reactions_count,reaction_rate_all,❤,❤‍🔥,👍,👻,💔,💯,🔥,😁,😍,😢,😭,😱,🤔,🤝,🤡,🤣,🤷‍♂,🫡
TOny,33,126,3.8182,27,2,3,0,2,7,4,51,2,11,1,0,6,0,1,9,0,0
Evizeon,28,116,4.1429,12,0,7,1,0,16,8,61,0,3,1,2,2,1,0,0,0,2
Irina Skveshik,11,38,3.4545,4,0,1,0,0,2,2,26,0,0,0,1,1,0,0,0,1,0
Ilia,7,9,1.2857,3,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,5,5,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Marko,3,12,4.0,2,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0
Олег,3,11,3.6667,1,0,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Farid Alijanov,1,8,8.0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Boris,1,7,7.0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Lou,1,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Dmitry Leff,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,1,8,8.0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
VΛSWΛY,1,7,7.0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0
