user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,👀,👍,💔,💯,🔥,😁,😢,😭,😱,🙈,🤔,🤣,🤮,🤯,🥰
TOny,23,71,3.087,13,1,0,3,1,6,4,32,5,4,0,1,0,0,0,1,0
Evizeon,17,61,3.5882,4,0,1,5,0,5,5,24,5,0,1,0,1,2,0,3,5
Ilia,4,6,1.5,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
Mary Marko,2,8,4.0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,1,0,0
M,2,7,3.5,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
Dmitry Leff,2,5,2.5,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
VΛSWΛY,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Олег,1,2,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Farid Alijanov,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,1,3,3.0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Юрий Чуйко,1,2,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serginjo,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
