user_name,message_count,reactions_count,reaction_rate_all,❤,👀,👍,👎,💔,💯,🔥,😁,😢,😭,😱,🤔,🤝,🤣,🥰,🦄,🫡
TOny,27,101,3.7407,40,0,1,1,1,17,2,24,8,1,0,1,1,0,0,0,4
Evizeon,9,45,5.0,9,0,0,0,0,2,2,13,5,0,9,0,0,2,3,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,3,14,4.6667,1,2,1,0,0,6,0,1,2,0,1,0,0,0,0,0,0
Олег,2,10,5.0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Max,1,6,6.0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0
Aleksii Работа в Чехии / Фин. Консультант⚜️,1,3,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Serginjo,1,5,5.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Ilia,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris,1,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Irina Skveshik,1,5,5.0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
Илья,1,4,4.0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
