user_name,message_count,reactions_count,reaction_rate_all,❤,🍓,👀,👍,💔,💯,🔥,😁,😎,😢,😭,😱,🙏,🤣,🤨,🦄,🫡
Evizeon,43,197,4.5814,8,3,6,22,2,35,6,105,1,5,1,0,0,2,0,1,0
TOny,15,68,4.5333,11,0,0,1,0,18,2,30,0,0,0,0,1,0,1,0,4
Олег,5,26,5.2,1,0,0,4,0,1,0,14,0,0,0,0,0,3,0,0,3
Serginjo,3,18,6.0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0
Aleksii Работа в Чехии / Фин. Консультант⚜️,3,17,5.6667,6,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0
Ilia,2,10,5.0,1,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0
Павел Рамм,2,17,8.5,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0
Maria Bibik,1,6,6.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
dasha,1,7,7.0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
Boris,1,8,8.0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0
Dmitry Leff,1,4,4.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,1,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roman,1,5,5.0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
