user_name,message_count,reactions_count,reaction_rate_all,❤,👍,💅,💩,💯,🔥,😁,😢,😱,🤓,🤔,🤣,🤬,🤯,🥰,🥴,🦄,🫡
Evizeon,30,155,5.1667,10,12,1,0,20,14,85,9,1,0,0,0,0,0,1,0,0,2
Павел Рамм,6,30,5.0,4,0,0,0,1,1,19,4,0,0,0,0,0,0,0,0,1,0
Max,5,23,4.6,1,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0
TOny,5,14,2.8,0,0,0,0,0,1,3,6,1,0,0,0,1,0,0,1,0,1
Ilia,4,19,4.75,9,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0
flire,3,17,5.6667,0,5,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0
Serginjo,2,4,2.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,1,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Олег,1,5,5.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margo,1,9,9.0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0
dasha,1,7,7.0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
Maria Bibik,1,8,8.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dmitry Leff,1,2,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boris,1,7,7.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
