user_name,message_count,reactions_count,reaction_rate_all,❤,🌚,👀,👍,💔,💯,🔥,😁,😍,😐,😢,😱,🤣,🥰,🥴,🦄
Evizeon,32,113,3.5312,11,0,3,17,1,16,2,43,3,0,8,1,4,2,0,2
TOny,6,16,2.6667,6,1,0,0,0,0,0,5,0,1,3,0,0,0,0,0
Ilia,5,14,2.8,4,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0
Павел Рамм,3,10,3.3333,0,0,0,3,0,0,4,2,0,0,0,0,0,0,1,0
Олег,3,18,6.0,1,0,0,0,0,1,5,9,0,0,2,0,0,0,0,0
VΛSWΛY,2,4,2.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Max,2,6,3.0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0
Aleksii Работа в Чехии / Фин. Консультант⚜️,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuliya Kon,1,4,4.0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0
Valera,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris,1,4,4.0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
